HATS-8 b,3.583893,43.86054,9.785,0.259,829,5679,-0.025,1.06,1.09
HATS-9 b,1.915291,266.02371,13.85,0.626,654.36,5599,0.275,1.1,1.56
HD 100546 b,,239000,77.342,2.84,97,10500,1.5,2.4,
HD 100655 b,157.57001,511.7063,13.5,1.14,137.72,4891,1.735,2.28,10.06
HD 100777 b,383.70001,327.3649,13.8,0.684,49.6,5533,-0.024,0.83,1.04
HD 10180 c,5.75969,13.22173,3.7,1.43,39.02,5911,0.182,1.06,1.11
HD 10180 d,16.357,12.01397,3.49,1.55,39.02,5911,0.182,1.06,1.11
HD 10180 e,49.748,25.58532,5.46,0.864,39.02,5911,0.182,1.06,1.11
HD 10180 f,122.744,22.94733,5.12,0.939,39.02,5911,0.182,1.06,1.11
HD 10180 g,604.67,23.26516,5.16,0.931,39.02,5911,0.182,1.06,1.11
HD 10180 h,2205,65.66368,9.5,0.421,39.02,5911,0.182,1.06,1.11
HD 101930 b,70.46,79.4575,10.6,0.367,30.05,5108,-0.323,0.57,0.86
HD 102117 b,20.8133,54.0311,8.47,0.489,39.62,5655,0.16,1.06,1.23
HD 102195 b,4.11377,130.3103,14.2,0.25,29.36,5301,-0.311,0.76,0.82
HD 102272 b,127.58,1570.0802,12.9,4.02,350.01,4790,1.662,1.45,10.3
HD 102329 b,778.09998,2593.4928,12.6,7.12,218.42,4745,1.585,3.21,9.82
HD 102329 c,1123,483.1016,13.5,1.08,218.42,4745,1.585,3.21,9.82
HD 102365 b,122.1,16,4.14,1.24,9.29,5630,-0.057,0.85,0.9
HD 102956 b,6.4947,305.1168,13.8,0.638,122.32,4985,1.048,1.66,4.55
HD 103197 b,47.84,28.6047,5.83,0.793,57.24,5250,-0.247,0.8,0.88
HD 103720 b,4.5557,197.046,14.1,0.386,41.6,5017,-0.458,0.79,0.73
HD 103774 b,5.8881,116,13.3,0.271,56.5,6489,0.544,1.33,1.58
HD 104067 b,55.806,50.8528,8.18,0.511,20.38,4937,-0.513,0.62,0.74
HD 10442 b,1032.3,472.61321,13.6,1.03,135.89,4912,1.147,1.01,1.97
